num_rooms,area,porch,price
7,276,1,268942.36899599776
4,150,1,182523.94548019257
8,224,0,239795.8191061944
5,255,1,240209.3446061033
7,180,0,224472.15873492652
3,50,0,89027.53270705491
7,54,0,148630.67699441078
8,267,0,265086.4547054164
5,296,1,271810.00073569606
4,191,0,182099.16316675956
8,152,0,215795.7246657464
8,76,0,184540.31198194067
3,186,1,155252.95594253653
6,256,1,265529.468651758
5,64,1,127219.27304311469
2,139,1,133090.8938639729
8,91,0,132308.14659791437
6,173,0,184452.33502481028
2,254,1,206927.14583023454
5,228,0,208250.15040601144
1,112,0,109062.09709697371
6,145,0,165812.5396850583
9,280,1,303008.4424846467
1,290,1,229376.20754319947
3,101,0,136771.7778293338
7,145,1,174202.07931321542
4,181,1,224600.17737026222
9,271,1,287704.6197568583
3,278,1,237094.138023755
5,200,1,187525.56543942104
3,280,0,219828.34828795408
7,286,1,279200.31131435465
5,192,0,193886.52168298975
9,220,0,263082.4278903018
7,78,1,188505.1772199481
2,85,0,92347.14353898852
4,62,0,133751.80873185786
9,209,0,250415.09927197246
2,120,1,139929.56007989662
9,236,1,244437.82024708577
5,292,0,268197.73162797827
2,135,1,153451.61421906692
4,77,1,111751.23406751714
7,115,1,183852.98309389476
8,219,1,254408.350795488
3,94,0,134598.62952508798
1,111,0,113585.92808577938
4,234,1,222123.86208923074
2,294,1,258783.2931834499
8,183,0,244698.05133207265
4,77,0,114257.21432231713
2,77,1,109546.54002655871
6,157,0,186831.94000284595
6,93,1,140263.95848742579
4,133,1,146378.94753080752
6,79,0,125174.58068584776
2,239,0,172284.200407625
2,124,1,162844.04242219887
4,177,1,175671.39221680284
8,299,0,264094.073615966
7,296,1,291242.56490764086
9,141,0,203760.43420856327
8,266,1,279279.59203758906
5,280,0,229077.31125954998
2,239,0,162471.68046490158
5,274,0,244015.75616247175
8,178,1,205728.49083864022
9,170,1,227342.60170633608
9,76,0,167005.73297434417
1,239,1,192430.1970882046
9,170,0,216660.82653338075
7,165,0,200583.97757304172
9,254,1,253591.64391344096
8,282,1,311005.2213365915
1,52,0,67998.02393404755
8,152,1,234020.70666326536
8,247,1,265747.505745094
3,249,0,206613.61052106982
1,204,0,167316.29377679495
8,186,1,204795.31117321167
3,111,0,149995.88002958626
3,214,0,179335.83299069558
1,274,1,225155.9794970496
5,100,0,147731.46051761656
7,283,0,255882.17661364295
9,221,1,241131.75830295726
7,201,1,219017.35951288993
9,256,0,274334.706424961
8,108,0,164381.28550495938
2,167,1,133641.00675633954
1,209,1,161636.7667150835
7,145,1,215100.08064933645
7,265,1,289219.3661553955
8,282,0,260838.76498427865
5,229,1,201267.5698026386
3,162,1,165853.06403843852
8,111,0,188257.83271614337
6,290,1,273668.4570264825
3,235,0,229519.61872011112
1,101,1,123902.7323297118
